Name,Address,City,State,Years_of_Operation,Latitude,Longitude
"W. L. Mast","","Bremen","IN","&lt;--1945",41.44642,-86.15612
"Bremen Implement Company","","Bremen","IN","&lt;--1948",41.44642,-86.15612
"Braden Martin Implement Company","","Bremen","IN","&lt;--1948--&gt;",41.44642,-86.15612
"Martin & Gragg","","Bremen","IN","&lt;--1958--&gt;",41.44642,-86.15612
"Martin Implement Company","","Bremen","IN","&lt;--1962--&gt;",41.44642,-86.15612
"Ray Martin Equipment Company","","Bremen","IN","&lt;--1964-1967--&gt;",41.44642,-86.15612
"Bremen Farm Center, Inc.","Highway 6 West","Bremen","IN","&lt;--1969-1976--&gt;",41.45117,-86.09305
"Rader Equipment, Inc.","Highway 331 North","Bremen","IN","&lt;--1979-1984--&gt;",41.47924,-86.15623
"Ernst Witte & Son","","Bristow","IN","&lt;--1945",38.14016,-86.72141
"Hoover Implement Company","","Brookston","IN","&lt;--1946",40.6027,-86.86855
"Halstead Implement Company (Inc.)","East 3rd Street","Brookston","IN","&lt;--1948-1984--&gt;",40.6027,-86.86249
"Frank S. Masters / F. S. Masters","","Brookville","IN","1902-1915--&gt;",39.41852,-85.0128
"Freis & Geis","","Brookville","IN","1902-1912--&gt;",39.41852,-85.0128
"Chas. Samoniel / Charles Samoniel","","Brookville","IN","&lt;--1911-1923--&gt;",39.41852,-85.0128
"Pioneer Hardware Company","","Brookville","IN","&lt;--1926-1927--&gt;",39.41852,-85.0128
"Williams & Kuntz","","Brookville","IN","&lt;--1948--&gt;",39.41852,-85.0128
"Dependable Motors, Inc.","","Brookville","IN","&lt;--1962-1969--&gt;",39.41852,-85.0128
"J. N. Currens","","Burr Oak","IN","&lt;--1948--&gt;",41.25659,-86.4149
"Aldrich Brothers","","Butler","IN","&lt;--1911--&gt;",41.42972,-84.87134
"Fisher Implement Company","","Butler","IN","&lt;--1948-1952--&gt;",41.42972,-84.87134
"Fred Dodds Hardware Company","","Campbellsburg","IN","&lt;--1946",38.64922,-86.26113
"Carmel Welding Service","","Carmel","IN","&lt;--1958-1964--&gt;",39.97839,-86.12707
"Carmel Welding & Supply Company, Inc.","550 South Rangeline Road","Carmel","IN","&lt;--1967-1979--&gt;",39.9734,-86.12661
"Fred A. Fable","","Cayuga","IN","",39.95225,-87.46125
"Martin Ericson","","Chesterton","IN","&lt;--1945",41.60665,-87.05162
"Churubusco Hatchery & Farm Supply","","Churubusco","IN","&lt;--1948--&gt;",41.23056,-85.31929
"Bockelman Implement Company","","Churubusco","IN","&lt;--1958-1964--&gt;",41.23056,-85.31929
"Geiger Equipment, Inc.","Highway 205 West","Churubusco","IN","&lt;--1967-1979--&gt;",41.23056,-85.31929
"Frank McNight","","Cicero","IN","&lt;--1916--&gt;",40.1323,-86.01342
"W. F. Scanlon","","Clarks Hill","IN","&lt;--1927--&gt;",40.24789,-86.72505
"Summers & Jackson","","Clarks Hill","IN","&lt;--1946",40.24789,-86.72505
"Hall Sales Company","","Clarks Hill","IN","&lt;--1948-1958--&gt;",40.24789,-86.72505
"Smith & Niswongls","","Clay City","IN","&lt;--1912--&gt;",39.27536,-87.11527
"Schopmeyer Implement & Truck Sales","","Clay City","IN","&lt;--1948-1964--&gt;",39.27536,-87.11527
"Hoffman Equipment Company","","Clay City","IN","&lt;--1967-1969--&gt;",39.27536,-87.11527
"Raymond La Salle","","Clay City","IN","",39.27536,-87.11527
"Clinton Implement & Truck Company","558 North 9th Street","Clinton","IN","&lt;--1948-1984--&gt;",39.6659,-87.4085
"Wabash Oil Company","","Clinton","IN","",39.65717,-87.40392
"Morrison Bros.","","Cloverdale","IN","&lt;--1923--&gt;",39.51476,-86.79425
"Burk Sales","","Cloverdale","IN","&lt;--1958--&gt;",39.51476,-86.79425
"Barnett Motor Sales","","Cloverdale","IN","&lt;--1962-1964--&gt;",39.51476,-86.79425
"Farmers Supply Company","","Coatesville","IN","&lt;--1941--&gt;",39.68957,-86.66989
"Farm Supply Company","West Main Street","Coatesville","IN","&lt;--1948-1955--&gt;",39.68812,-86.68724
"Coatesville Farm Supply Company, Inc.","31 West Main Street","Coatesville","IN","&lt;--1976-1979--&gt;",39.68812,-86.68724
"Larr Equipment, Inc.","31 West Main Street","Coatesville","IN","&lt;--1984--&gt;",39.68812,-86.68724
"Trier Implement Company","","Columbia City","IN","&lt;--1943-1948--&gt;",41.15704,-85.48841
"Wolfe's Garage","","Columbia City","IN","&lt;--1958--&gt;",41.15704,-85.48841
"Columbia Truck & Tractor, Inc.","","Columbia City","IN","&lt;--1964--&gt;",41.15704,-85.48841
"B & C Sales","","Columbia City","IN","&lt;--1967--&gt;",41.15704,-85.48841
"Hurd's Auto Repair","","Columbia City","IN","&lt;--1969-1976--&gt;",41.15704,-85.48841
"Farmers' Supply Company","","Columbus","IN","&lt;--1926-1930--&gt;",39.2014,-85.92103
"Westermeier Hardware Company (Inc.)","","Columbus","IN","&lt;--1935-1948--&gt;",39.2014,-85.92103
"Noll Motors, Inc.","","Columbus","IN","&lt;--1958-1969--&gt;",39.2014,-85.92103
"East Side Equipment Company","2011 State Street","Columbus","IN","&lt;--1965-1967--&gt;",39.19633,-85.9013
"Timperman-McGuire","Highways 46 & 9","Columbus","IN","&lt;--1973-1976--&gt;",39.21043,-85.77179
"McGuire International, Inc.","14154 East Highway 46","Columbus","IN","&lt;--1977-1990--&gt;",41.63935,-87.47082
"C. F. Lurton","","Commiskey","IN","&lt;--1936--&gt;",46.36739,-91.63508
"Lurton's Store","","Commiskey","IN","&lt;--1944",46.36739,-91.63508
"George Mettle","","Connersville","IN","&lt;--1909--&gt;",39.63941,-85.14089
"Fayette County Implement Company","810 Eastern Avenue","Connersville","IN","&lt;--1944",39.6439,-85.13523
"Farmers Implement & Supply Company","810 Eastern Avenue","Connersville","IN","1944--&gt;",39.6439,-85.13523
"White Implement Company (Inc.)","2516 Western Avenue","Connersville","IN","&lt;--1948-1979--&gt;",39.66666,-85.13805
"Burk & Malott","","Converse","IN","&lt;--1937--&gt;",40.57745,-85.87079
"John C. Malott","","Converse","IN","&lt;--1948-1958--&gt;",40.57745,-85.87079
"Johnny's Auto Service","Highway 41","Cook (Cedar Lake)","IN","&lt;--1958--&gt;",32.30885,-96.00801
"R. I. Bennett","","Cory","IN","&lt;--1923--&gt;",39.38917,-87.2067
"Jacobi Service Station","","Corydon","IN","&lt;--1947",38.21224,-86.12631
"Rowe Motor Sales","","Corydon","IN","&lt;--1958--&gt;",38.21224,-86.12631
"Bilsland Implement Company (Inc.)","501 3rd Street","Covington","IN","&lt;--1948-1979--&gt;",40.13853,-87.39858
"Gilliland Implement Company, Inc.","501 3rd Street","Covington","IN","&lt;--1984--&gt;",40.13853,-87.39858
"Earl B. Thomas","","Crandall","IN","&lt;--1946",38.28749,-86.06617
"Crawfordsville Hardware Company","","Crawfordsville","IN","&lt;--1915--&gt;",40.04286,-86.90334
"Krueck & Leaming","","Crawfordsville","IN","&lt;--1930--&gt;",40.04286,-86.90334
"Hunter B. Leaming, Inc.","","Crawfordsville","IN","&lt;--1931--&gt;",40.04286,-86.90334
"Veatch & Pinkerton, Inc.","402 Waynetown Road","Crawfordsville","IN","&lt;--1948-1967--&gt;",40.04528,-86.91964
"Edwards Motor Sales","","Crawfordsville","IN","&lt;--1958-1969--&gt;",40.04286,-86.90334
"Town Edge Motors (Inc.)","1401 Darlington Avenue","Crawfordsville","IN","&lt;-- 1973-1979--&gt;",40.04618,-86.88048
"M. L. Burkett & Sons, Inc.","402 Waynetown Road","Crawfordsville","IN","&lt;--1979-1984--&gt;",40.04528,-86.91964
"Battermann & Millies","","Crown Point","IN","&lt;--1915--&gt;",41.41794,-87.36433
"P. W. Struebig","","Crown Point","IN","&lt;--1938--&gt;",41.41794,-87.36433
"P. W. Struebig & Son","1122 North Main Street","Crown Point","IN","&lt;--1948-1974--&gt;",41.4291,-87.36341
"Struebig Truck Sales, Inc.","1122 North Main Street","Crown Point","IN","",41.4291,-87.36341
"Hub Distributing Company","1122 North Main Street","Crown Point","IN","&lt;--1977--&gt;",41.4291,-87.36341
"Chas. Van Meter","","Culver","IN","&lt;--1948--&gt;",41.21884,-86.42091
"Nelson Equipment Company","","Culver","IN","&lt;--1959-1964--&gt;",41.21884,-86.42091
"Newhouse & Kilkene","","Cumberland","IN","&lt;--1923--&gt;",36.12851,-86.83549
"Wilson's Garage","","Cynthiana","IN","&lt;--1945",38.18745,-87.70937
"S. W. & J Motor Company","","Dale","IN","1940--&gt;",38.16685,-86.99003
"C. W. Wedeking Company","","Dale","IN","&lt;--1946",38.16685,-86.99003
"J. C. Hardy","","Dana","IN","&lt;--1912-1914--&gt;",39.80765,-87.49492
"Norman Popello","","Dana","IN","&lt;--1948-1958--&gt;",39.80765,-87.49492
"A. J. Carrera","","Dana","IN","&lt;--1962--&gt;",39.80765,-87.49492
"Pete's Automotive Service","Jct. Highway 36 & 71","Dana","IN","&lt;--1964--&gt;",42.11207,-94.28119
"Newman Hardware","","Danville","IN","&lt;--1916--&gt;",39.76076,-86.52387
"Farmers Supply Company","","Danville","IN","&lt;--1941--&gt;",39.76076,-86.52387
"Hill Implement & Truck Sales","","Danville","IN","&lt;--1948--&gt;",39.76076,-86.52387
"Dutch Stuart","","Danville","IN","&lt;--1958--&gt;",39.76076,-86.52387
"Campbell Hardware","","Darlington","IN","&lt;--1948--&gt;",40.10697,-86.7744
"Lehe Equipment Sales","","Darlington","IN","&lt;--1958-1969--&gt;",40.10697,-86.7744
"Mollenkopf & Eiting, Inc.","","Decatur","IN","&lt;--1948-1950--&gt;",40.83137,-84.92435
"Decatur Equipment, Inc.","Highway 27 North","Decatur","IN","&lt;--1958-1965--&gt;",40.99925,-85.09856
"Decatur Truck & Tractor (Inc.)","Highway 224 West","Decatur","IN","&lt;--1967-1990--&gt;",40.8403,-84.90472
"L. M. Pletcher","","Delphi","IN","&lt;--1942-1944",40.58614,-86.67399
"Delphi Farm Supply, Inc.","","Delphi","IN","&lt;--1948--&gt;",40.58614,-86.67399
"Coghill Car Sales","","Delphi","IN","&lt;--1958--&gt;",40.58614,-86.67399
"D. A. Garrison Motor Truck Sales","","Delphi","IN","&lt;--1962--&gt;",40.58614,-86.67399
"D. A. Garrison Grain / D. A. Garrison Grain Transport Company, Inc.","Highway 421","Delphi","IN","&lt;--1964-1979--&gt;",40.54117,-86.6397
"F. M. Hart","","DeMotte","IN","&lt;--1919--&gt;",41.1954,-87.19866
"De Kock Supply Company","808 15th Street SE","DeMotte","IN","&lt;--1948-1971--&gt;",41.18913,-87.18728
"Arnold Farm Equipment, Inc.","808 15th Street SE","DeMotte","IN","&lt;--1979--&gt;",41.18913,-87.18728
"Hoffman's Farm Equipment","","DeMotte","IN","",41.1954,-87.19866
"Herman E. Barnes","","Depauw","IN","&lt;--1948--&gt;",38.33947,-86.21741
"Dunkirk Implement Company","","Dunkirk","IN","&lt;--1958--&gt;",40.37474,-85.21003
"L. Keilman Company","","Dyer","IN","&lt;--1948--&gt;",41.49368,-87.51711
"J. A. Fogelman Truck Sales & Service","3601 Euclid Avenue","East Chicago","IN","&lt;--1969-1976--&gt;",41.64725,-87.45424
"C. Eckerty & Son","","Eckerty","IN","&lt;--1947",38.32626,-86.61034
"Economy Implement Company","","Economy","IN","&lt;--1948-1969--&gt;",39.9772,-85.08573
"Hemphill-Roth","","Edinburg","IN","&lt;--1958--&gt;",33.02688,-80.14343
"Russ Upson Company (Inc.)","2006 Cassopolis Street","Elkhart","IN","&lt;--1948-1979--&gt;",41.69411,-85.97175
"K & K Truck Sales, Inc.","28778 Highway 20 West","Elkhart","IN","&lt;--1990--&gt;",41.66176,-85.90158
"C. H. Ross","","Elnora","IN","&lt;--1912--&gt;",38.87529,-87.08533
"McKnight's","1519 South B Street","Elwood","IN","&lt;--1948-1979--&gt;",40.27468,-85.84044
"G. H. Eastridge","","English","IN","&lt;--1948-1950--&gt;",38.33247,-86.46331
"Ed Wesbecker","","Evans Landing","IN","&lt;--1948",38.04971,-85.97429
"Miller & Oschman Implement Company / Miller & Oschman Company","2518 First Avenue","Evansville","IN","&lt;--1939-1952--&gt;",38.00132,-87.57462
"Miller & Oschman, Inc.","2518 First Avenue","Evansville","IN","&lt;--1964--&gt;",38.00132,-87.57462
"Brandeis Machinery & Supply Company","Diamond Avenue & Highway 41","Evansville","IN","1946-1979--&gt;",37.99897,-87.53761
"Scott Motors, Inc.","","Evansville","IN","&lt;--1967--&gt;",37.97571,-87.56991
"International Harvester Company","601 East Illinois Street","Evansville","IN","&lt;--1958-1976--&gt;",37.97885,-87.55609
"Tri-State International Trucks, Inc.","601 East Illinois Street","Evansville","IN","&lt;--1977-1979--&gt;",37.97885,-87.55609
"Asher Truck & Trailer, Inc.","1108 North Fares Avenue","Evansville","IN","&lt;--1984-1990--&gt;",37.98787,-87.5433
"International Harvester Company","101 North Garvin Street","Evansville","IN","",37.97844,-87.55612
"Imel & Fraker","","Fairland","IN","&lt;--1912--&gt;",39.58446,-85.86201
"Brownies Marine & Truck Sales","","Fairland","IN","&lt;--1967-1969--&gt;",39.58446,-85.86201
"Holloway Implement Company","","Fairmount","IN","&lt;--1948--&gt;",40.41565,-85.6507
"Curless & Armstrong Farm Equipment","","Fairmount","IN","&lt;--1962--&gt;",40.41565,-85.6507
"Curless Farm Equipment","700 East Monroe Street","Fairmount","IN","&lt;--1964-1979--&gt;",40.41211,-85.64365
"Hasty Farm Equipment","203 North Main Street","Fairmount","IN","&lt;--1984--&gt;",40.41662,-85.651
"Hosea Stewart","","Farmersburg","IN","&lt;--1948--&gt;",39.25389,-87.38423
"Wayne O. Adams","","Farmland","IN","&lt;--1923--&gt;",40.18913,-85.12772
"Frank Heidet & Son","","Ferdinand","IN","&lt;--1944",38.22457,-86.86193
"Jacobs Garage","","Ferdinand","IN","&lt;--1962-1964--&gt;",38.22457,-86.86193
"E. E. Landis (Company)","","Flora","IN","&lt;--1925-1964--&gt;",40.5471,-86.52293
"Red Front Implement Store","","Forest","IN","1902-1916--&gt;",36.12851,-86.83549
"E. L. Brookbank Company","","Forest","IN","&lt;--1948-1967--&gt;",36.12851,-86.83549
"K. M. Cripe Company","58 Main Street","Forest","IN","&lt;--1978-1984--&gt;",35.56456,-82.52805
"George F. Evans","","Forest","IN","",36.12851,-86.83549
"Elpers Motor Company (Inc.)","John Street & Highway 41","Fort Branch","IN","&lt;--1973-1984--&gt;",38.24999,-87.56811
"Viberg & McMaken","","Fort Wayne","IN","&lt;--1910--&gt;",41.07747,-85.13749
"Geo. A. Houser & Company","","Fort Wayne","IN","&lt;--1911-1912--&gt;",41.07747,-85.13749
"Adams & Shew","213 East Columbia Street","Fort Wayne","IN","&lt;--1919",41.08129,-85.13338
"Mitchell-Robinson Tractor Company","325 East Columbia Street","Fort Wayne","IN","&lt;--1946-1948--&gt;",41.08129,-85.13338
"Indiana Equipment Company, Inc.","1139 California Road","Fort Wayne","IN","&lt;--1957--&gt;",41.11856,-85.12621
"Indiana Equipment Company, Inc.","414 West Coliseum Blvd.","Fort Wayne","IN","&lt;--1979--&gt;",41.11813,-85.14535
"Don Ayers Pontiac","4740 Lima Road","Fort Wayne","IN","&lt;--1973-1977--&gt;",41.1214,-85.1518
"International Harvester Company","220 East Jefferson Street","Fort Wayne","IN","&lt;--1946--&gt;",41.07779,-85.12758
"International Harvester Company","207 East Superior Street","Fort Wayne","IN","&lt;--1946-1953",41.08281,-85.1374
"International Harvester Company ~ Truck Branch","333 South Clinton Street","Fort Wayne","IN","1953-1980--&gt;",41.08413,-85.13916
"Lincolnway International Trucks (Inc.)","333 South Clinton Street; 2807 Goshen Road","Fort Wayne","IN","&lt;--1984-1990--&gt;",41.08413,-85.13916
"P., M. & B. Hardware Company","","Fortville","IN","&lt;--1911--&gt;",39.93136,-85.84796
"Wilkinson Motors, Inc.","","Fortville","IN","&lt;--1958--&gt;",39.93136,-85.84796
"Sheldon's Garage","","Fortville","IN","&lt;--1962--&gt;",39.93136,-85.84796
"Ratliff-Rash Motors","","Fortville","IN","&lt;--1964--&gt;",39.93136,-85.84796
"Rash Motors, Inc.","","Fortville","IN","&lt;--1967--&gt;",39.93136,-85.84796
"Bates & Anderson","","Fowler","IN","&lt;--1917--&gt;",40.61767,-87.32345
"Hoss & Cassidy","","Fowler","IN","&lt;--1937--&gt;",40.61767,-87.32345
"Wm. Christopher","","Fowler","IN","&lt;--1947",40.61767,-87.32345
"Goetz Bros. Implement Company, Inc. / Goetz Bros., Inc.","810 South Washington Avenue","Fowler","IN","&lt;--1948-1984--&gt;",40.6172,-87.32345
"Francesville Motor Company, Inc.","","Francesville","IN","&lt;--1948-1971--&gt;",40.98524,-86.88362
"Bucher Sales, Inc.","","Francesville","IN","&lt;--1977--&gt;",40.98524,-86.88362
"Swets Farm Equipment, Inc","West 300 South & South 1450 West","Francesville","IN","&lt;--1979--&gt;",41.01203,-86.88343
"Kenney Farm Implement, Inc.","Highway 421","Francesville","IN","&lt;--1984-1986--&gt;",40.98246,-86.89148
"Bird & Son","","Frankfort","IN","&lt;--1936--&gt;",40.2797,-86.51066
"Frankfort Implement & Truck Sales","","Frankfort","IN","&lt;--1948-1969--&gt;",40.2797,-86.51066
"Fullerton Equipment (Inc.)","Highway 28 West","Frankfort","IN","&lt;--1973-1984--&gt;",39.62148,-78.77374
"Deer & Son","","Franklin","IN","&lt;--1948-1964--&gt;",39.49444,-86.06667
"Potter Equipment, Inc.","3500 North Morton Street","Franklin","IN","&lt;--1979-1984--&gt;",39.52581,-86.08017
"H. M. Rainforth","","Freedonia","IN","&lt;--1946",38.91262,-119.95593
"H. S. Pielemeir","","Freelandville","IN","&lt;--1925--&gt;",38.86484,-87.30576
"Freelandville Implement Company","","Freelandville","IN","&lt;--1948-1969--&gt;",38.86484,-87.30576
"Freelandville Farm Service(s), Inc.","Main Street","Freelandville","IN","&lt;--1979-1984--&gt;",39.51564,-115.96218
"O. R. Mann","","Freetown","IN","&lt;--1944",38.97213,-86.13439
"Deaver's Garage","","Freetown","IN","&lt;--1958--&gt;",38.97213,-86.13439
"F. B. McNaughton (& Son)","","Fremont","IN","&lt;--1948-1969--&gt;",41.73078,-84.93285
"Fremont Equipment","105 South Wayne Street","Fremont","IN","&lt;--1973-1976--&gt;",41.73026,-84.93246
"Ralph McCampbell & Son","","French Lick","IN","&lt;--1948-1949--&gt;",38.54777,-86.62317
"Rapid Transit Company, Inc.","","French Lick","IN","&lt;--1967-1969--&gt;",38.54777,-86.62317
"Siekerman & Geisler","","Friendship","IN","&lt;--1948--&gt;",39.02334,-85.24106
"Rapp Rambler & Equipment Company","","Garrett","IN","&lt;--1962-1964--&gt;",41.35039,-85.13563
"International Harvester Company","2017 Broadway","Gary","IN","&lt;--1950-1958--&gt;",41.60755,-87.33722
"International Harvester Company","4040 West 4th Avenue","Gary","IN","&lt;--1962-1976--&gt;",41.60447,-87.38783
"Burgess International Trucks, Inc.","4040 West 4th Avenue","Gary","IN","&lt;--1977-1984--&gt;",41.60447,-87.38783
"Howell Tractor & Equipment Company","East 8th Avenue","Gary","IN","&lt;--1979--&gt;",41.59665,-87.32695
"Parts & Trucks","1231 East Main Street","Gas City","IN","&lt;--1973-1979--&gt;",40.4874,-85.59061
"Knotts & McKnight","","Gaston","IN","&lt;--1948-1958--&gt;",40.31375,-85.50067
"Knotts Implement Company","","Gaston","IN","&lt;--1962-1969--&gt;",40.31375,-85.50067
"Pippin Equipment Company","115 West Elm Street","Gaston","IN","&lt;--1979--&gt;",40.31368,-85.50153
"Mitten Implement Company","","Goodland","IN","&lt;--1948--&gt;",40.76554,-87.29634
"Burton Implement Company (Inc.)","Highway 24 West","Goodland","IN","&lt;--1958-1979--&gt;",40.76634,-87.37221
"Burton-Minniear Farm Equipment, Inc.","Highway 24 West","Goodland","IN","&lt;--1984--&gt;",40.76634,-87.37221
"McCormick-Deering Store","","Goshen","IN","&lt;--1944",41.58122,-85.83439
"Goshen Implement Company (Inc.)","South 11th Street & East Madison Street","Goshen","IN","&lt;--1946-1958--&gt;",41.58245,-85.82312
"Goshen Implement Company / Inc.","404 South 11th Street","Goshen","IN","&lt;--1979-1984--&gt;",41.58264,-85.8228
"K & K Truck Sales, Inc.","427 West Pike Street","Goshen","IN","&lt;--1962-1990--&gt;",41.59046,-85.84267
"Bunner & Eilert Company","","Grandview","IN","&lt;--1918--&gt;",37.93467,-86.98098
"Morrison Bros.","5 East Franklin Street","Greencastle","IN","&lt;--1923-1933--&gt;",39.64476,-86.85678
"Weesner Implement Company","124 North Jackson Street","Greencastle","IN","&lt;--1938-1957--&gt;",39.64535,-86.86573
"Ivor McMains","124 North Jackson Street; 200 North Indiana Street","Greencastle","IN","&lt;--1958-1965--&gt;",39.64535,-86.86573
"Myron D. McMains","Highway 231 North","Greencastle","IN","&lt;--1967-1969--&gt;",39.66501,-86.87033
"Hess Sales & Service","7-9 East Franklin Street","Greencastle","IN","1940-1958--&gt;",39.64497,-86.86401
"Johnsons","","Greenfield","IN","&lt;--1948--&gt;",39.7852,-85.76927
"Dill-Fields Company, Inc.","222 South Franklin Street","Greenfield","IN","&lt;--1958-1979--&gt;",39.78212,-85.78421
"Ed Wieland's All American Cars","2222 West Main Street","Greenfield","IN","&lt;--1973-1974--&gt;",39.78704,-85.73217
"Greenfield Farm Center, Inc.","","Greenfield","IN","&lt;--1984--&gt;",39.7852,-85.76927
"Corbett & Rohe / Corbett-Rohe Company","","Greensburg","IN","&lt;--1912-1930--&gt;",39.33993,-85.4795
"Greensburg Implement Company","135 West Main Street; North Michigan Avenue at Park Street ","Greensburg","IN","&lt;--1948--&gt;",39.33877,-85.48898
"Rodgers Brothers, Inc.","","Greensburg","IN","&lt;--1958--&gt;",39.33993,-85.4795
