Name,Address,City,State,Years_of_Operation,Latitude,Longitude
"Parrott Implement (Company)","","Balaton","MN","&lt;--1948-1962--&gt;",44.23102,-95.87643
"Ed Ahonen","","Balkan","MN","&lt;--1922-1923--&gt;",47.56649,-92.88771
"McDunn's","","Barnesville","MN","&lt;--1948--&gt;",46.64819,-96.41936
"C & H Equipment Company","","Barnesville","MN","&lt;--1958--&gt;",46.64819,-96.41936
"Borth Implement","","Barnesville","MN","&lt;--1962--&gt;",46.64819,-96.41936
"Barrett Implement Company","","Barrett","MN","&lt;--1919--&gt;",45.90991,-95.8928
"T. A. Ransted","","Battle Lake","MN","1902-1912--&gt;",46.28416,-95.7141
"A. T. Herfindahl","","Battle Lake","MN","&lt;--1948-1958--&gt;",46.28416,-95.7141
"Newell O. Lee","","Baudette","MN","&lt;--1938-1962--&gt;",48.71248,-94.60011
"Knutson & Gongoll","","Becker","MN","&lt;--1948--&gt;",45.39363,-93.87653
"Lindquist & Linderholm","","Belgrade","MN","&lt;--1948-1964--&gt;",45.45276,-95.00001
"Belle Plaine Implement Company","","Belle Plaine","MN","&lt;--1948--&gt;",44.62507,-93.76379
"B & B Equipment (Company)","","Belle Plaine","MN","&lt;--1958-1967--&gt;",44.62507,-93.76379
"Witte's Garage & Implement","","Bellingham","MN","&lt;--1948--&gt;",45.13611,-96.28379
"Grinols Implement & Fuel Company","","Bemidji","MN","&lt;--1948--&gt;",47.47265,-94.87966
"Newland & Paul Implement & Truck Company","","Bemidji","MN","&lt;--1958--&gt;",47.47265,-94.87966
"Paul Implement & Truck Company","","Bemidji","MN","&lt;--1962--&gt;",47.47265,-94.87966
"Thorson International","Highway 71 North","Bemidji","MN","&lt;--1964-1984--&gt;",47.64096,-94.69772
"F. J. McCauley","","Benson","MN","&lt;--1915--&gt;",45.3152,-95.6015
"Benson Machine Company","","Benson","MN","&lt;--1926--&gt;",45.3152,-95.6015
"Quinn Brothers Implement Company","","Benson","MN","&lt;--1945-1948--&gt;",45.3152,-95.6015
"Quinn Brothers","","Benson","MN","&lt;--1958-1969--&gt;",45.3152,-95.6015
"Quinn's, Inc.","Highway 12 East","Benson","MN","&lt;--1973-1984--&gt;",45.31449,-95.60192
"Bertas, Inc.","Highway 12 East","Benson","MN","&lt;--1978-1984--&gt;",45.31449,-95.60192
"Strohkirch Company","","Beroun","MN","&lt;--1946",45.91026,-92.95631
"Guy Williams","","Bertha","MN","&lt;--1948-1958--&gt;",46.26662,-95.06289
"Wegener Implement","","Bertha","MN","&lt;--1962-1963--&gt;",46.26662,-95.06289
"J. H. Miller","","Big Lake","MN","&lt;--1909--&gt;",45.33179,-93.74587
"Emil Olson","","Bigelow","MN","&lt;--1923--&gt;",43.50479,-95.68871
"Bigfork Motors","","Bigfork","MN","&lt;--1946",47.74676,-93.6533
"C. A. Liem Company","","Bingham Lake","MN","&lt;--1948--&gt;",43.90837,-95.04772
"Magnuson Motor Company","","Blackduck","MN","&lt;--1948--&gt;",47.72979,-94.55008
"Srsen Auto Company","245 Main Street E","Blooming Prairie","MN","&lt;--1938-1980--&gt;",43.86634,-93.05249
"Sid Johnson","","Blue Earth","MN","&lt;--1946",43.63763,-94.10241
"Eide Implement Company","","Blue Earth","MN","&lt;--1948--&gt;",43.63763,-94.10241
"Holland Implement Company","","Blue Earth","MN","&lt;--1955-1969--&gt;",43.63763,-94.10241
"C & F Equipment, Inc.","Highway 16 West","Blue Earth","MN","&lt;--1978-1984--&gt;",43.64478,-94.11536
"Cazett Implement, Inc.","","Blue Earth","MN","",43.63763,-94.10241
"G. A. Wendorf","","Bongards","MN","&lt;--1944-1964--&gt;",44.87779,-93.04992
"Nels Wangenstein","","Bovey","MN","&lt;--1945",47.29552,-93.41648
"S. F. Surma","","Bowlus","MN","&lt;--1948--&gt;",45.82011,-94.40701
"E. D. Quist","","Boyd","MN","&lt;--1946",44.8516,-95.89889
"Weisz Bros.","","Boyd","MN","&lt;--1948",44.8516,-95.89889
"Knutson Implement & Hardware","","Boyd","MN","&lt;--1948--&gt;",44.8516,-95.89889
"Merril Knutson","","Boyd","MN","",44.8516,-95.89889
"Braham Implement & Motor Company","","Braham","MN","&lt;--1948--&gt;",45.72271,-93.17131
"Braham Implement Company","","Braham","MN","&lt;--1958-1962--&gt;",45.72271,-93.17131
"G. E. Senn","","Brainerd","MN","&lt;--1945",46.35471,-94.20216
"Harold J. Skarolid","","Brainerd","MN","&lt;--1948-1967--&gt;",46.35471,-94.20216
"Anderson International","13th Street SE","Brainerd","MN","&lt;--1973--&gt;",46.34533,-94.18983
"Johnson Truck Sales (Inc.)","13th Street SE; Highways 210 & 371 West","Brainerd","MN","&lt;--1974-1979--&gt;",46.35762,-94.21562
"Northland Truck, Inc.","Highway 210 East","Brainerd","MN","&lt;--1984-1985--&gt;",46.36707,-94.16717
"Nels Kronberg","","Brandon","MN","&lt;--1925-1926",45.96505,-95.59496
"John Korkowski Implement Company","203 2nd Street East","Brandon","MN","1926-1981",45.96413,-95.59573
"Farmers Supply & Grain Company","","Breckenridge","MN","&lt;--1925--&gt;",46.26335,-96.58795
"Brewster Implement Company","","Brewster","MN","&lt;--1947-1948--&gt;",43.69783,-95.46791
"Herum Implement Company","","Bricelyn","MN","&lt;--1948--&gt;",43.56201,-93.80986
"Crystal Motors, Inc.","7008 63rd Avenue North; Highway 52 & 63rd Avenue North","Brooklyn Park","MN","&lt;--1967-1980--&gt;",45.06935,-93.401
"Dokken Motor Company","","Brooten","MN","&lt;--1948-1958--&gt;",45.50064,-95.1216
"G. A. Monnie & Sons","","Browerville","MN","&lt;--1948--&gt;",46.0873,-94.87007
"Schiefelbein Implement Company","","Browns Valley","MN","&lt;--1948-1964--&gt;",45.59428,-96.83396
"F. W. Albrecht & Sons","","Brownton","MN","",44.73307,-94.35081
"Bruno Farmers Exchange","","Bruno","MN","&lt;--1948--&gt;",46.28084,-92.66256
"F. J. Mischke","","Buckman","MN","&lt;--1948--&gt;",45.89836,-94.09393
"Peterson Feed & Implement Company","","Buffalo","MN","&lt;--1930-1948--&gt;",45.17309,-93.87624
"Peterson Auto Sales","","Buffalo","MN","&lt;--1958-1967--&gt;",45.17309,-93.87624
"Buffalo Chrysler-Plymouth, Inc.","","Buffalo","MN","&lt;--1969--&gt;",45.17309,-93.87624
"Leinbach Equipment","","Buffalo","MN","",45.17309,-93.87624
"Buhl Motor Service (Inc.)","402 Pennsylvania Avenue","Buhl","MN","&lt;--1958-1980--&gt;",47.49374,-92.77702
"D. A. Nickel","","Butterfield","MN","&lt;--1929--&gt;",43.95609,-94.79575
"Frank Brothers","","Caledonia","MN","&lt;--1921--&gt;",43.63458,-91.49159
"Nielsen Motor Truck Sales","","Caledonia","MN","&lt;--1958--&gt;",43.63458,-91.49159
"Gouldberg & Anderson","","Cambridge","MN","1902-1913--&gt;",45.57263,-93.22419
"Ellingson Hardware & Implement Company","","Cambridge","MN","&lt;--1948--&gt;",45.57263,-93.22419
"Fredlund Brothers","","Cambridge","MN","&lt;--1958--&gt;",45.57263,-93.22419
"Greenberg Motor & Equipment Company","Highway 95 East","Cambridge","MN","&lt;--1978-1980--&gt;",45.57268,-93.22345
"Thomas Tilghman","","Canby","MN","&lt;--1918--&gt;",44.70868,-96.27649
"Nevenheim & Anderson","","Canby","MN","&lt;--1921-1925--&gt;",44.70868,-96.27649
"Larson & Gross","","Canby","MN","&lt;--1948-1958--&gt;",44.70868,-96.27649
"Swenson Implement","","Canby","MN","&lt;--1967--&gt;",44.70868,-96.27649
"Leo Hentges Implement","","Canby","MN","",44.70868,-96.27649
"Flom Implement Company","","Cannon Falls","MN","&lt;--1948--&gt;",44.50686,-92.90573
"Bethke Implement Company","","Cannon Falls","MN","&lt;--1958--&gt;",44.50686,-92.90573
"Dabelow Pontiac-Buick","","Cannon Falls","MN","&lt;--1967-1969--&gt;",44.50686,-92.90573
"Frank Ehlert & Son","","Carlos","MN","&lt;--1948--&gt;",45.97651,-95.29198
"J. E. McFarland","","Carlton","MN","&lt;--1948--&gt;",46.66466,-92.42267
"Hebelsen Brothers","3rd Street","Carver","MN","&lt;--1948--&gt;",44.7636,-93.62377
"J. R. De Long","","Cedar","MN","&lt;--1944",44.9431,-94.52256
"Jorstad Implement Company","","Ceylon","MN","&lt;--1945",43.5326,-94.63165
"Schmidt Implement Company","","Ceylon","MN","&lt;--1948--&gt;",43.5326,-94.63165
"Swanson & Clark, Inc.","","Ceylon","MN","&lt;--1955--&gt;",43.5326,-94.63165
"Ceylon Implement Company","","Ceylon","MN","&lt;--1956-1964--&gt;",43.5326,-94.63165
"Schuur Implement Company","","Chandler","MN","&lt;--1948-1969--&gt;",43.92891,-95.94867
"Hervey Implement Company","","Chatfield","MN","&lt;--1948--&gt;",43.84486,-92.18813
"Machinery Hill","","Chatfield","MN","&lt;--1958--&gt;",43.84486,-92.18813
"Bernard('s) Sales & Service","","Chatfield","MN","&lt;--1962-1969--&gt;",43.84486,-92.18813
"J. H. Gustafson Company","","Chisago City","MN","&lt;--1945",45.37489,-92.8866
"Farm Service Company","","Chisholm","MN","&lt;--1945",47.48881,-92.87754
"Maturi Motors","","Chisholm","MN","&lt;--1952--&gt;",47.48881,-92.87754
"Pederson Hardware Company","","Chokio","MN","&lt;--1922--&gt;",45.57425,-96.17397
"Sletten Implement Company","","Chokio","MN","&lt;--1945",45.57425,-96.17397
"Albert N. Olson","","Chokio","MN","&lt;--1948--&gt;",45.57425,-96.17397
"Stimmler Implement","","Chokio","MN","&lt;--1958--&gt;",45.57425,-96.17397
"Clara City Farmers Elevator","","Clara City","MN","&lt;--1947",44.95509,-95.3663
"Tammen Motor Sales","","Clara City","MN","&lt;--1948--&gt;",44.95509,-95.3663
"Fritz Truck Service","","Clara City","MN","&lt;--1958-1976--&gt;",44.95509,-95.3663
"Rand Hardware Company, Inc.","","Claremont","MN","&lt;--1948--&gt;",44.04613,-92.99584
"Demi's Garage","Front Street","Claremont","MN","&lt;--1958-1980--&gt;",44.04481,-93.0033
"Branum Machine Shop","","Clarissa","MN","&lt;--1958--&gt;",46.13009,-94.94864
"Peter Anderson","","Clarkfield","MN","&lt;--1909--&gt;",44.79074,-95.80859
"Clarkfield-Playford Silo Company","","Clarkfield","MN","&lt;--1919--&gt;",44.79074,-95.80859
"Johnson Brothers","","Clarkfield","MN","&lt;--1944",44.79074,-95.80859
"Sharkey Implement","","Clarkfield","MN","&lt;--1948-1958--&gt;",44.79074,-95.80859
"Clarks Grove Hardware Company","","Clarks Grove","MN","&lt;--1934--&gt;",43.76385,-93.32925
"Clarks Grove Hardware & Implement Company","","Clarks Grove","MN","&lt;--1948-1958--&gt;",43.76385,-93.32925
"Dingmann Hardware","","Clear Lake","MN","&lt;--1948--&gt;",45.4471,-93.99552
"Opheim, Espeseth & Nelson","","Clearbrook","MN","&lt;--1922--&gt;",47.69284,-95.4309
"Lundmark Motor Company","","Clearbrook","MN","&lt;--1958--&gt;",47.69284,-95.4309
"V. C. Hopfenspirger","","Clements","MN","&lt;--1947",44.38039,-95.05298
"Hopfenspirger Implement Company","","Clements","MN","&lt;--1948-1958--&gt;",44.38039,-95.05298
"Lloyd Brothers & Davis","","Cleveland","MN","&lt;--1913--&gt;",44.32441,-93.83476
"Cooke Hardware & Implement (Company)","","Cleveland","MN","&lt;--1948-1958--&gt;",44.32441,-93.83476
"C. M. Davidson","","Climax","MN","&lt;--1934-1948--&gt;",47.60773,-96.8148
"Climax Implement (Company)","","Climax","MN","&lt;--1962-1969--&gt;",47.60773,-96.8148
"Gustafson Hardware & Implement (Company)","","Clinton","MN","&lt;--1926-1945",45.46237,-96.44179
"Clinton Implements","","Clinton","MN","&lt;--1948-1958--&gt;",45.46237,-96.44179
"Mikkelson & Son","","Clontarf","MN","&lt;--1948--&gt;",45.38078,-95.67996
"Hongisto Truck & Implement Company  Inc.","616 Sunnyside Drive; 268 Highway 33 North","Cloquet","MN","1941-1985--&gt;",46.73467,-92.46699
"Cokato Hardware & Implement Company","","Cokato","MN","&lt;--1930-1947",45.08,-94.1901
"Winchester Store","","Cokato","MN","",45.08,-94.1901
"Wenner Company","","Cold Spring","MN","&lt;--1948-1958--&gt;",45.45583,-94.42743
"Coleraine Service Garage","","Coleraine","MN","&lt;--1958--&gt;",47.28694,-93.42475
"Coleraine Auto Service","","Coleraine","MN","&lt;--1962--&gt;",47.28694,-93.42475
"Cliff Maki Body Shop","211 Roosevelt Street","Coleraine","MN","&lt;--1964-1980--&gt;",44.23608,-96.0535
"Columbia Heights Motors","4849 Central Avenue","Columbia Heights","MN","&lt;--1974-1976--&gt;",45.05635,-93.24639
"Martin Windschitl","","Comfrey","MN","&lt;--1922--&gt;",44.11044,-94.90102
"A. O. Quarnstrom & Son","Corner of Broad & Ochre Streets","Comfrey","MN","&lt;--1948-1958--&gt;",44.10887,-94.90311
"Quarnstrom Implement Company","","Comfrey","MN","",44.11044,-94.90102
"Enzmann Bros.","","Cook","MN","&lt;--1948--&gt;",47.85372,-92.6874
"Chase Lumber Yard","","Cook","MN","&lt;--1958-1962--&gt;",47.85372,-92.6874
"W. J. De Wall","","Correll","MN","&lt;--1919--&gt;",45.23207,-96.16228
"E. A. Hackbarth","","Cosmos","MN","&lt;--1946",44.93624,-94.69661
"Cosmos Implement Company","","Cosmos","MN","&lt;--1948-1952--&gt;",44.93624,-94.69661
"Hackbarth Implements","","Cosmos","MN","&lt;--1978-1980--&gt;",44.93624,-94.69661
"Bahls Implement & Motor Company","","Cottage Grove","MN","&lt;--1947",44.83352,-92.9538
"Smith's Farm Store","956 West 1st Street","Cottonwood","MN","&lt;--1958-1973--&gt;",44.60139,-95.67357
"G. W. Schlottman","","Courtland","MN","&lt;--1911--&gt;",44.26957,-94.34722
"N. P. Stone Company","","Crookston","MN","&lt;--1930-1957",47.77379,-96.60683
"K. E. Bengson Implement Company","","Crookston","MN","1957-1960--&gt;",47.77379,-96.60683
"McCormick Farm Equipment Store","","Crookston","MN","&lt;--1962--&gt;",47.77379,-96.60683
"International Harvester Sales & Service","302 North Main Street; Highway 75 South","Crookston","MN","&lt;--1964-1976--&gt;",47.77618,-96.60637
"Larson International, Inc.","Highway 75 South","Crookston","MN","&lt;--1977-1980--&gt;",47.76934,-96.62275
"Red Power International, Inc.","Highway 75 South","Crookston","MN","&lt;--1984-1990--&gt;",47.76934,-96.62275
"Rosholt Equipment Company","212 North Main Street","Crookston","MN","",47.77597,-96.60745
"Crosby Hardware (Company)","","Crosby","MN","&lt;--1958-1967--&gt;",46.4806,-93.95301
"Crosby Equipment & Hardware Company","","Crosby","MN","&lt;--1969--&gt;",46.4806,-93.95301
"Louie Sykora","","Currie","MN","&lt;--1946",44.06929,-95.66605
"Haycraft Brothers","","Currie","MN","&lt;--1948-1958--&gt;",44.06929,-95.66605
"Daggett Implement Company","","Daggett","MN","&lt;--1948--&gt;",46.2141,-94.10369
"Dahlen Auto & Machine Company","","Dahlen","MN","&lt;--1948--&gt;",44.7954,-93.58743
"Chris Trocinski","","Dakota","MN","&lt;--1947",43.91211,-91.3583
"Minge Implement Company","","Dalton","MN","&lt;--1948--&gt;",46.17372,-95.91559
"Brown's Implement","","Dalton","MN","&lt;--1953--&gt;",46.17372,-95.91559
"Danube Hardware Company","","Danube","MN","&lt;--1945",44.78881,-95.09889
"Danube Implement Company","","Danube","MN","&lt;--1948--&gt;",44.78881,-95.09889
"Darfur Implement Company (Inc.)","","Darfur","MN","&lt;--1931-1984--&gt;",44.05313,-94.83635
"Farmer's Corporation","","Dassel","MN","&lt;--1948--&gt;",45.08143,-94.30692
"Farmer's Corporation","","Dassel","MN","&lt;--1963--&gt;",45.08143,-94.30692
"Nelson Motor Company","","Dassel","MN","&lt;--1958-1969--&gt;",45.08143,-94.30692
"Magnuson & Phillips","","Dassel","MN","",45.08143,-94.30692
"H. O. Christianson","","Dawson","MN","&lt;--1925-1947",44.93286,-96.05466
"D. E. Pederson","","Dawson","MN","&lt;--1948-1964--&gt;",44.93286,-96.05466
"Anderson-Pederson, Inc.","Highway 212 West","Dawson","MN","&lt;--1967-1980--&gt;",44.93586,-96.04821
"Breberg Implement Company, Inc.","","Dawson","MN","&lt;--1972--&gt;",44.93286,-96.05466
"Riverside International, Inc.","860 6th Street; Highway 212 West","Dawson","MN","&lt;--1978-1984--&gt;",44.93581,-96.05455
"Ricker Trucks, Inc.","Highway 212 West","Dawson","MN","&lt;--1984-1985--&gt;",44.93586,-96.04821
"Midwest Truck & Parts, Inc.","Highway 212","Dawson","MN","&lt;--1990--&gt;",44.93586,-96.04821
"P. W. Bresnahan","","De Graff","MN","&lt;--1918--&gt;",45.261,-95.4675
"B. R. Schendel","","Deer Creek","MN","&lt;--1944",46.39317,-95.32172
"Thelen Implement (Company)","","Deer Creek","MN","&lt;--1948--&gt;",46.39317,-95.32172
"Farmers Co-op Exchange","","Deer River","MN","&lt;--1946",47.33277,-93.79149
"Ziebarth & Tomnitz","","Delano","MN","&lt;--1915--&gt;",45.04195,-93.78936
"Henze Garage","","Delano","MN","&lt;--1945",45.04195,-93.78936
"Steller's","","Delano","MN","&lt;--1948--&gt;",45.04195,-93.78936
"Len's Service","","Delano","MN","&lt;--1958--&gt;",45.04195,-93.78936
"Dixon-VanLith Implement","","Delano","MN","",45.04195,-93.78936
"Geo. O. Jensen","","Delavan","MN","&lt;--1948--&gt;",43.76879,-94.01786
"Delft Implement Company","","Delft","MN","&lt;--1948-1958--&gt;",44.73583,-93.15375
"Carson Farmer's Elevator Company","","Delft","MN","",44.73583,-93.15375
"Johnson Implement Company","318 East Frazee Street","Detroit Lakes","MN","&lt;--1948-1951--&gt;",46.81587,-95.84145
"Barber's Direct Service","","Detroit Lakes","MN","&lt;--1958--&gt;",46.81282,-95.83883
"Freborg & Wells","","Detroit Lakes","MN","&lt;--1962-1964--&gt;",46.81282,-95.83883
"Baker Auto Sales","","Detroit Lakes","MN","&lt;--1967--&gt;",46.81282,-95.83883
"Burgett Auto Sales","","Detroit Lakes","MN","&lt;--1969--&gt;",46.81282,-95.83883
"Mitchell Chevrolet Company","","Detroit Lakes","MN","",46.81282,-95.83883
"Nortz Lumber Company","","Doran","MN","&lt;--1944",46.18386,-96.48373
"Dugdale Mercantile Company","","Dugdale","MN","&lt;--1921--&gt;",43.61458,-95.63492
"E. J. Filiatrault","","Duluth","MN","&lt;--1919--&gt;",46.78284,-92.10551
"Herbert Spindler Company","2901 West Superior Street","Duluth","MN","&lt;--1948--&gt;",46.7593,-92.1355
"International Harvester Company","114 East 1st Street","Duluth","MN","&lt;--1954",46.78881,-92.0972
"International Harvester Company ~ Truck Branch","3204 Carlton Street","Duluth","MN","1954-1980--&gt;",46.75653,-92.13932
"Foss International Trucks, Inc.","3204 Carlton Street","Duluth","MN","&lt;--1984-1985--&gt;",46.75653,-92.13932
"Rosholt Equipment Company","","Duluth","MN","&lt;--1954--&gt;",46.78284,-92.10551
"Hall Equipment, Inc.","210 Garfield Avenue","Duluth","MN","&lt;--1968--&gt;",46.76973,-92.11617
"Phillippi Equipment Company","","Duluth","MN","",46.78284,-92.10551
"Anderson De Long Company","","Duquette","MN","&lt;--1947",46.34202,-92.58828
"E. R. Nelson","","Eagle Bend","MN","&lt;--1948-1958--&gt;",46.16538,-95.03357
"Adolph Lund (Company)","316-318 Demers Avenue","East Grand Forks","MN","&lt;--1934-1949--&gt;",47.92955,-97.02527
"Hoffert Motor Service","Highway 220 North","East Grand Forks","MN","&lt;--1967-1973--&gt;",47.93665,-97.01805
"Hoffert Motor Service","1717 Central Avenue NW","East Grand Forks","MN","&lt;--1990",47.94279,-97.02013
"Farmers Co-op Trading Company","","East Lake","MN","&lt;--1948--&gt;",46.38319,-94.36026
"Geo. F. Pehling","","Echo","MN","&lt;--1919--&gt;",44.61523,-95.41583
"Rick Brothers","","Echo","MN","&lt;--1945",44.61523,-95.41583
"Rust Implement Company","","Echo","MN","&lt;--1948-1958--&gt;",44.61523,-95.41583
"Echo Motors","","Echo","MN","&lt;--1962-1969--&gt;",44.61523,-95.41583
"J. L. Rushland & Company","","Eden Valley","MN","&lt;--1913--&gt;",45.32254,-94.54651
"Jos. S. Fink","","Eden Valley","MN","&lt;--1948--&gt;",45.32254,-94.54651
"Roelofs Implement Company Inc.","812 Main Street","Edgerton","MN","&lt;--1948-1980--&gt;",43.87285,-96.12864
"Anderson & Carlson","","Effie","MN","&lt;--1948--&gt;",47.84009,-93.64771
